"Trait","Number of DGRP lines measured","Sex","Trait guild","Trait description","Reference"
"2-Phosphoglyceric.acid.high.yeast.f","178","Female","Metabolome","Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"2-Phosphoglyceric.acid.low.yeast.f","178","Female","Metabolome","Mean relative 2-Phosphoglyceric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"2.3-butanedione.olfactory.attraction.f","157","Female","Sensory","Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.attraction.m","157","Male","Sensory","Attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.latency.30.percentile.f","157","Female","Sensory","Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.latency.30.percentile.m","157","Male","Sensory","Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.latency.90.percentile.f","157","Female","Sensory","Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.latency.90.percentile.m","157","Male","Sensory","Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.response.intensity.f","157","Female","Sensory","Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.response.intensity.m","157","Male","Sensory","Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.strength.attraction.f","157","Female","Sensory","Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"2.3-butanedione.olfactory.strength.attraction.m","157","Male","Sensory","Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour"
"3-Hydroxybutyric.acid.high.yeast.f","178","Female","Metabolome","Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"3-Hydroxybutyric.acid.low.yeast.f","178","Female","Metabolome","Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"3-Hydroxykynurenine.high.yeast.f","178","Female","Metabolome","Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"3-Hydroxykynurenine.low.yeast.f","178","Female","Metabolome","Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"4-Pyridoxic.acid.high.yeast.f","178","Female","Metabolome","Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"4-Pyridoxic.acid.low.yeast.f","178","Female","Metabolome","Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"5-Aminovalerate.high.yeast.f","178","Female","Metabolome","Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"5-Aminovalerate.low.yeast.f","178","Female","Metabolome","Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"A.tropicalis.load.m","36","Male","Microbiome","Mean bacterial load, calculated from the DNA content of the bacterial strain and the DNA content of the fly. Higher values indicate a greater bacterial load. The bacteria measured here is A. tropicalis; a commensal gut bacteria commonly found in the GI tract of D.melanogaster.","Early et al (2017) PLOS One"
"abdomen.curling.same.sex.m","50","Male","Behavioural","Incidence of DGRP males abdomen curling in the presence of an interacting male, sourced from a wildtype laboratory strain. Higher values indicate a greater incidence of abdomen curling.","Bailey and Hoskins (2014) Evolution"
"abdomen.length.18C.f","194","Female","Morphological","Mean adult abdomen length, when reared at 18C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
"abdomen.length.28C.f","196","Female","Morphological","Mean adult abdomen length, when reared at 28C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
"abdomen.length.thermal.plasticity.f","191","Female","Morphological","Flies were reared at 18C and 28C, after which adult abdomen lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics"
"acclimated.acute.cold.exposure.resistance.18C.f","181","Female","Physiological","Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acclimated.acute.cold.exposure.resistance.18C.m","181","Male","Physiological","Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acclimated.acute.cold.exposure.resistance.25C.f","187","Female","Physiological","Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acclimated.acute.cold.exposure.resistance.25C.m","187","Male","Physiological","Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acetoacetate.high.yeast.f","178","Female","Metabolome","Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"acetoacetate.low.yeast.f","178","Female","Metabolome","Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Acetobacter.aceti.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.aceti.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.cibinongensis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.cibinongensis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.ghanensis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.ghanensis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.indonesiensis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.indonesiensis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.malorum.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.malorum.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.nitrogenifigens.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.nitrogenifigens.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.okinawensis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.okinawensis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.orientalis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.orientalis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.papayae.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.papayae.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.pasteurianus.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.pasteurianus.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.persici.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.persici.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.pomorum.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.pomorum.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.senegalensis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.senegalensis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.syzygii.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.syzygii.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.tropicalis.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acetobacter.tropicalis.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"acetylcarnitine.high.yeast.f","178","Female","Metabolome","Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"acetylcarnitine.low.yeast.f","178","Female","Metabolome","Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"acetylcholine.high.yeast.f","178","Female","Metabolome","Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"acetylcholine.low.yeast.f","178","Female","Metabolome","Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Acidiphilium.angustum.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidiphilium.angustum.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidomonas.methanolica.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidomonas.methanolica.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidovorax.sp..f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidovorax.sp..m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidovorax.temperans.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acidovorax.temperans.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acinetobacter.gyllenbergii.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acinetobacter.gyllenbergii.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acinetobacter.johnsonii.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acinetobacter.johnsonii.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acinetobacter.sp..f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Acinetobacter.sp..m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"activity.m","172","Male","Activity","Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet. Higher values indicate more active flies.","Rohde et al (2019) Genetics"
"activity.MPH.m","172","Male","Activity","Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet, supplemented with MPH (1.5 mg ml^-1). MPH, methylphenidate, is a drug used to treat attention-deficit/hyperactivity disorder (ADHD) in humans. Higher values indicate more active flies.","Rohde et al (2019) Genetics"
"activity.same.sex.m","50","Male","Behavioural","An overall measure of activity level obtained by summing the total number of tapping, orientating, following, licking, singing and abdomen curling for a male housed in a vial with a single additional male. Higher values indicate greater activity.","Bailey and Hoskins (2014) Evolution"
"acute.cold.exposure.resistance.18C.-6.f","185","Female","Physiological","Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acute.cold.exposure.resistance.18C.-6.m","186","Male","Physiological","Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acute.cold.exposure.resistance.18C.-8.f","181","Female","Physiological","Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acute.cold.exposure.resistance.18C.-8.m","181","Male","Physiological","Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acute.cold.exposure.resistance.25C.f","184","Female","Physiological","Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"acute.cold.exposure.resistance.25C.m","184","Male","Physiological","Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Higher values indicate greater resistance to acute cold exposure.","Gerken et al (2015) PNAS"
"adenine.high.yeast.f","178","Female","Metabolome","Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"adenine.low.yeast.f","178","Female","Metabolome","Mean relative adenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"adenosine.high.yeast.f","178","Female","Metabolome","Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"adenosine.low.yeast.f","178","Female","Metabolome","Mean relative adenosine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"ADP.high.yeast.f","178","Female","Metabolome","Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"ADP.low.yeast.f","178","Female","Metabolome","Mean relative ADP concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"aggression.2015.m","200","Male","Behavioural","Mean number of aggressive encounters between 8 males in an interaction vial over a two minute duration. Higher values indicate more aggressive males.","Shorter et al (2015) PNAS"
"aggression.2021.m","48","Male","Behavioural","Mean number of aggressive lunges made in 20 min window following removal of a divider, by pairs of DGRP males of same genotype. Trials were run after males were kept isolated for five days. Highe rvalues indicate more aggressive males.","Chowdhury et al Nature Communications Biology"
"agmatine.high.yeast.f","178","Female","Metabolome","Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"agmatine.low.yeast.f","178","Female","Metabolome","Mean relative agmatine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"Agrobacterium.tumefaciens.f","200","Female","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"Agrobacterium.tumefaciens.m","200","Male","Microbiome","Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.","Everett et al (2020) Genome Research"
"alanine.high.yeast.f","178","Female","Metabolome","Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"alanine.low.yeast.f","178","Female","Metabolome","Mean relative alanine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"allantoin.high.yeast.f","178","Female","Metabolome","Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
"allantoin.low.yeast.f","178","Female","Metabolome","Mean relative allantoin concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).","Jin et al (2020) PLOS Genetics"
