Trait,Sex,Trait guild,Trait description,Reference,V(G),V(e),Vp,V(G)/Vp,SE_V(G),SE_V(e),SE_Vp,SE_V(G)/Vp
2.3-butanedione.olfactory.latency.30.percentile,Male,Sensory,"Median latency (seconds) to achieve 30% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate a greater ability to detect and respond to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.43,0,0.43,1,0.15,0.26,0.13,0.6
2.3-butanedione.olfactory.latency.90.percentile,Female,Sensory,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.16,0.7,0.86,0.18,0.21,0.42,0.23,0.29
2.3-butanedione.olfactory.latency.90.percentile,Male,Sensory,"Median latency (seconds) to achieve 90% of the entire observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Lower values indicate faster habituation to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.43,0.13,0.56,0.76,0.17,0.3,0.15,0.47
2.3-butanedione.olfactory.response.intensity,Female,Sensory,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.25,0.51,0.76,0.33,0.16,0.31,0.17,0.27
2.3-butanedione.olfactory.response.intensity,Male,Sensory,"Strongest observed response to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.41,0.15,0.56,0.73,0.15,0.28,0.14,0.43
2.3-butanedione.olfactory.strength.attraction,Female,Sensory,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.06,0.91,0.96,0.06,0.26,0.52,0.28,0.28
2.3-butanedione.olfactory.strength.attraction,Male,Sensory,"Strength of attraction to 2,3-buntanedione, an odorant present in fermenting fruit. Higher values indicate greater attraction to the odorant.","Brown et al (2013) Genes, Brain and Behaviour",0.3,0.37,0.68,0.45,0.22,0.43,0.22,0.46
3-Hydroxybutyric.acid.high.yeast,Female,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.39,0.25,0.64,0.6,0.18,0.33,0.16,0.42
3-Hydroxybutyric.acid.low.yeast,Female,Metabolome,Mean relative 3-Hydroxybutyric Acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.04,1.04,0,0.2,0.41,0.23,0.19
3-Hydroxykynurenine.high.yeast,Female,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.12,0.75,0.87,0.14,0.13,0.27,0.16,0.17
3-Hydroxykynurenine.low.yeast,Female,Metabolome,Mean relative 3-Hydroxykynurenine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.06,0.88,0.94,0.06,0.14,0.3,0.17,0.16
4-Pyridoxic.acid.high.yeast,Female,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.16,1.16,0,0.22,0.45,0.25,0.19
4-Pyridoxic.acid.low.yeast,Female,Metabolome,Mean relative 4-Pyridoxic acid concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.11,0.78,0.89,0.12,0.18,0.36,0.19,0.22
5-Aminovalerate.high.yeast,Female,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1,1,0,0.14,0.29,0.17,0.14
5-Aminovalerate.low.yeast,Female,Metabolome,Mean relative 5-Aminovalerate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.21,0.57,0.78,0.27,0.14,0.27,0.15,0.22
abdomen.length.18C,Female,Morphological,"Mean adult abdomen length, when reared at 18C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",0.23,0.55,0.77,0.29,0.15,0.28,0.15,0.24
abdomen.length.28C,Female,Morphological,"Mean adult abdomen length, when reared at 28C. Higher values indicate larger flies.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",0,1.1,1.1,0,0.18,0.37,0.21,0.16
abdomen.length.thermal.plasticity,Female,Morphological,"Flies were reared at 18C and 28C, after which adult abdomen lengths were measured. Reaction norms for each DGRP line were calculated using the linear model lm (Size ~ Temperature). The absolute value of the slope is a measurement of thermal sensitivity, describing the magnitude of the plastic response to temperature. Higher values indicate greater thermal plasticity.","Lafuente, Duneau and Beldade (2018) PLOS Genetics",0,1.03,1.03,0,0.14,0.29,0.17,0.13
acclimated.acute.cold.exposure.resistance.18C,Female,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0,1.03,1.03,0,0.17,0.36,0.21,0.17
acclimated.acute.cold.exposure.resistance.18C,Male,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0.03,0.97,1,0.03,0.16,0.33,0.19,0.16
acclimated.acute.cold.exposure.resistance.25C,Female,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0,1.02,1.02,0,0.16,0.33,0.19,0.15
acclimated.acute.cold.exposure.resistance.25C,Male,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 25°C. Flies were pretreated for two hours at 4°C, immediately prior to cold exposure, to acclimate them to cold exposure. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0,1.19,1.19,0,0.26,0.54,0.29,0.22
acetoacetate.high.yeast,Female,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.14,1.14,0,0.25,0.52,0.28,0.22
acetoacetate.low.yeast,Female,Metabolome,Mean relative acetoacetate concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0,1.05,1.05,0,0.17,0.35,0.2,0.16
Acetobacter.aceti,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.13,0.75,0.87,0.15,0.15,0.29,0.16,0.19
Acetobacter.aceti,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.05,0.9,0.95,0.05,0.15,0.3,0.17,0.16
Acetobacter.cibinongensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.16,0.69,0.84,0.18,0.15,0.29,0.16,0.2
Acetobacter.cibinongensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.15,0.69,0.85,0.18,0.17,0.34,0.18,0.24
Acetobacter.ghanensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.12,0.75,0.88,0.14,0.15,0.29,0.16,0.19
Acetobacter.ghanensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.03,0.93,0.97,0.03,0.15,0.32,0.18,0.16
Acetobacter.indonesiensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.13,0.74,0.87,0.15,0.13,0.27,0.15,0.17
Acetobacter.indonesiensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.07,0.85,0.92,0.08,0.12,0.24,0.15,0.14
Acetobacter.malorum,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.85,0.92,0.08,0.16,0.33,0.18,0.19
Acetobacter.malorum,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.05,0.89,0.95,0.06,0.16,0.33,0.18,0.18
Acetobacter.nitrogenifigens,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.15,0.71,0.85,0.17,0.15,0.29,0.16,0.2
Acetobacter.nitrogenifigens,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.1,0.8,0.9,0.11,0.15,0.3,0.17,0.18
Acetobacter.okinawensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.21,0.58,0.79,0.26,0.15,0.3,0.16,0.24
Acetobacter.okinawensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.03,0.94,0.97,0.03,0.13,0.28,0.16,0.14
Acetobacter.orientalis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.13,0.74,0.87,0.15,0.14,0.27,0.15,0.18
Acetobacter.orientalis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.2,0.6,0.8,0.25,0.17,0.33,0.17,0.26
Acetobacter.papayae,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.77,0.89,0.13,0.15,0.3,0.17,0.19
Acetobacter.papayae,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.1,0.81,0.9,0.11,0.15,0.31,0.17,0.18
Acetobacter.pasteurianus,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.17,0.65,0.83,0.21,0.15,0.29,0.16,0.21
Acetobacter.pasteurianus,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.84,0.92,0.09,0.15,0.31,0.17,0.18
Acetobacter.persici,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.15,0.71,0.85,0.17,0.18,0.35,0.19,0.24
Acetobacter.persici,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.14,0.72,0.86,0.17,0.18,0.35,0.19,0.24
Acetobacter.pomorum,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.16,0.67,0.83,0.2,0.14,0.28,0.16,0.2
Acetobacter.pomorum,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.06,0.89,0.94,0.06,0.14,0.29,0.16,0.15
Acetobacter.senegalensis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.15,0.7,0.85,0.17,0.13,0.27,0.15,0.18
Acetobacter.senegalensis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.07,0.86,0.93,0.08,0.11,0.23,0.14,0.13
Acetobacter.syzygii,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.26,0.48,0.74,0.36,0.16,0.3,0.16,0.28
Acetobacter.syzygii,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.11,0.77,0.89,0.13,0.17,0.34,0.18,0.21
Acetobacter.tropicalis,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.15,0.7,0.85,0.18,0.13,0.26,0.15,0.18
Acetobacter.tropicalis,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.1,0.79,0.89,0.11,0.12,0.24,0.14,0.14
acetylcarnitine.high.yeast,Female,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.15,0.7,0.85,0.17,0.19,0.37,0.2,0.25
acetylcarnitine.low.yeast,Female,Metabolome,Mean relative acetylcarnitine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.46,0.09,0.55,0.84,0.12,0.19,0.1,0.32
acetylcholine.high.yeast,Female,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.23,0.54,0.77,0.3,0.19,0.36,0.19,0.31
acetylcholine.low.yeast,Female,Metabolome,Mean relative acetylcholine concentration extracted from 3 flies that lived as adults on a diet containing 0.5% yeast. Higher values indicate greater levels of the metabolite. Note these flies come from the same populations as used by Wilson et al (2020).,Jin et al (2020) PLOS Genetics,0.05,0.91,0.95,0.05,0.19,0.39,0.21,0.21
Acidiphilium.angustum,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.26,0.48,0.74,0.35,0.15,0.28,0.15,0.26
Acidiphilium.angustum,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.09,0.82,0.91,0.1,0.17,0.34,0.19,0.2
Acidomonas.methanolica,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.05,0.9,0.95,0.05,0.13,0.27,0.16,0.14
Acidomonas.methanolica,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.39,0.25,0.64,0.61,0.15,0.26,0.13,0.33
Acidovorax.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.84,0.92,0.09,0.12,0.25,0.15,0.14
Acidovorax.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.03,0.94,0.97,0.03,0.14,0.29,0.17,0.15
Acidovorax.temperans,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.16,0.67,0.83,0.2,0.13,0.26,0.14,0.18
Acidovorax.temperans,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.05,1.05,0,0.2,0.4,0.22,0.19
Acinetobacter.gyllenbergii,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.08,0.84,0.92,0.08,0.14,0.28,0.16,0.16
Acinetobacter.gyllenbergii,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.15,1.15,0,0.14,0.29,0.17,0.12
Acinetobacter.johnsonii,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.39,0.22,0.61,0.64,0.14,0.25,0.13,0.34
Acinetobacter.johnsonii,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0,1.09,1.09,0,0.15,0.31,0.18,0.14
Acinetobacter.sp.,Female,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.34,0.33,0.67,0.51,0.17,0.3,0.15,0.34
Acinetobacter.sp.,Male,Microbiome,Mean reads per million (originally Log2 normalised) values for reads from each DGRP RNA-seq sample uniquely aligning to each microbial species. Higher values indicate a greater load of the microbial species.,Everett et al (2020) Genome Research,0.01,0.98,0.99,0.01,0.11,0.25,0.15,0.12
activity,Male,Activity,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet. Higher values indicate more active flies.",Rohde et al (2019) Genetics,0.28,0.42,0.71,0.4,0.14,0.25,0.14,0.26
activity.MPH,Male,Activity,"Mean distance moved during a 10-min trial in a circular arena (16mm diameter x 6mm height), following 24 hrs of exposure to a 5% sucrose solution diet, supplemented with MPH (1.5 mg ml^-1). MPH, methylphenidate, is a drug used to treat attention-deficit/hyperactivity disorder (ADHD) in humans. Higher values indicate more active flies.",Rohde et al (2019) Genetics,0.35,0.28,0.64,0.56,0.14,0.25,0.13,0.31
acute.cold.exposure.resistance.18C.-6,Female,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0.21,0.61,0.82,0.25,0.2,0.38,0.2,0.29
acute.cold.exposure.resistance.18C.-6,Male,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -6°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0,1.48,1.48,0,0.38,0.75,0.4,0.25
acute.cold.exposure.resistance.18C.-8,Female,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0.28,0.45,0.73,0.39,0.21,0.4,0.21,0.39
acute.cold.exposure.resistance.18C.-8,Male,Temperature related,"Mean proportion of adult flies surviving one hours of exposure to -8°C, for flies reared at 18°C. Higher values indicate greater resistance to acute cold exposure.",Gerken et al (2015) PNAS,0,0.99,0.99,0,0.13,0.29,0.17,0.13
